scenario,room,name,klas,type,color,img,pos,category,has_opts,available,modable,collectible,consumable,uses,speed,range,time_color,lifespan,vspeed,vfreq,layer,effects
scenario_02,11_9,Enter_11_7,item,door_enter,fog_color,neon_bar,11_1,,,,,,,,,,,,,,,
scenario_02,11_9,Enter_10_8,item,door,grey03,,6_6,,,,,,,,,,,,,,,
scenario_02,11_9,Enter_10_10,item,door_enter,fog_color,neon_hotel,6_16,,,,,,,,,,,,,,,
scenario_02,10_8,Enter_9_7,item,door,grey03,,6_6,,,,,,,,,,,,,,,
scenario_02,9_7,Enter_9_5,item,door,grey03,,11_1,,,,,,,,,,,,,,,
scenario_02,9_7,Enter_8_8,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,9_5,Enter_10_4,item,door,grey03,,16_6,,,,,,,,,,,,,,,
scenario_02,10_4,Enter_10_6,item,door_enter,fog_color,neon_pizza,11_21,,,,,,,,,,,,,,,
scenario_02,10_4,Enter_11_3,item,door,grey03,,16_6,,,,,,,,,,,,,,,
scenario_02,11_3,Enter_12_4,item,door,grey03,,16_16,,,,,,,,,,,,,,,
scenario_02,12_4,Enter_12_6,item,door,grey03,,11_21,,,,,,,,,,,,,,,
scenario_02,12_4,Enter_13_5,item,door,grey03,,16_16,,,,,,,,,,,,,,,
scenario_02,12_6,Enter_11_5,item,door_enter,fog_color,neon_radio,6_6,,,,,,,,,,,,,,,
scenario_02,13_5,Enter_13_7,item,door,grey03,,11_21,,,,,,,,,,,,,,,
scenario_02,13_7,Enter_12_8,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,13_7,Enter_13_9,item,door_enter,fog_color,neon_kreuz,11_21,,,,,,,,,,,,,,,
scenario_02,13_7,Enter_14_8,item,door,grey03,,16_16,,,,,,,,,,,,,,,
scenario_02,12_8,Enter_12_10,item,door_enter,fog_color,neon_gym,11_21,,,,,,,,,,,,,,,
scenario_02,14_8,Enter_14_6,item,door_enter,fog_color,neon_shop,11_1,,,,,,,,,,,,,,,
scenario_02,14_8,Enter_15_7,item,door_enter,fog_color,neon_barber,16_6,,,,,,,,,,,,,,,
scenario_02,14_8,Enter_14_10,item,door,grey03,,11_21,,,,,,,,,,,,,,,
scenario_02,14_10,Enter_13_11,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,13_11,Enter_14_12,item,door,grey03,,16_16,,,,,,,,,,,,,,,
scenario_02,14_12,Enter_15_11,item,door,grey03,,16_6,,,,,,,,,,,,,,,
scenario_02,14_12,Enter_13_13,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,15_11,Enter_15_9,item,door,grey03,,11_1,,,,,,,,,,,,,,,
scenario_02,13_13,Enter_12_12,item,door,grey03,,6_6,,,,,,,,,,,,,,,
scenario_02,8_8,Enter_8_6,item,door,grey03,,11_1,,,,,,,,,,,,,,,
scenario_02,8_6,Enter_7_7,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,7_7,Enter_7_9,item,door,grey03,,11_21,,,,,,,,,,,,,,,
scenario_02,7_9,Enter_8_10,item,door,grey03,,16_16,,,,,,,,,,,,,,,
scenario_02,8_10,Enter_8_12,item,door,grey03,,11_21,,,,,,,,,,,,,,,
scenario_02,8_10,Enter_9_9,item,door_enter,fog_color,neon_bar,16_6,,,,,,,,,,,,,,,
scenario_02,8_12,Enter_7_13,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,8_12,Enter_9_13,item,door,grey03,,16_16,,,,,,,,,,,,,,,
scenario_02,7_13,Enter_7_11,item,door_enter,fog_color,neon_skola,11_1,,,,,,,,,,,,,,,
scenario_02,7_13,Enter_7_15,item,door_enter,fog_color,neon_fruit,11_21,,,,,,,,,,,,,,,
scenario_02,7_13,Enter_8_14,item,door,grey03,,16_16,,,,,,,,,,,,,,,
scenario_02,8_14,Enter_8_16,item,door_enter,grey01,neon_tattoo,11_21,,,,,,,,,,,,,,,
scenario_02,8_14,Enter_9_15,item,door,grey03,,16_16,,,,,,,,,,,,,,,
scenario_02,9_13,Enter_9_15,item,door,grey03,,11_21,,,,,,,,,,,,,,,
scenario_02,9_13,Enter_9_11,item,door_enter,fog_color,neon_pharma,11_1,,,,,,,,,,,,,,,
scenario_02,11_13,Enter_10_12,item,door_enter,fog_color,neon_shop,6_6,,,,,,,,,,,,,,,
scenario_02,11_13,Enter_10_14,item,door_enter,fog_color,neon_open,6_16,,,,,,,,,,,,,,,
scenario_02,11_13,Enter_11_15,item,door,grey03,,11_21,,,,,,,,,,,,,,,
scenario_02,11_13,Enter_12_14,item,door,grey03,,16_16,,,,,,,,,,,,,,,
scenario_02,11_15,Enter_10_16,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,12_14,Enter_13_15,item,door,grey03,,16_16,,,,,,,,,,,,,,,
scenario_02,13_15,Enter_14_16,item,door,grey03,,16_16,,,,,,,,,,,,,,,
scenario_02,13_15,Enter_12_16,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,14_16,Enter_15_15,item,door,grey03,,16_6,,,,,,,,,,,,,,,
scenario_02,14_16,Enter_13_17,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,15_15,Enter_15_13,item,door,grey03,,11_1,,,,,,,,,,,,,,,
scenario_02,15_15,Enter_14_14,item,door,grey03,,6_6,,,,,,,,,,,,,,,
scenario_02,12_16,Enter_11_17,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,14_16,Enter_13_17,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,13_17,Enter_12_18,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,12_18,Enter_11_19,item,door,grey03,,6_16,,,,,,,,,,,,,,,
scenario_02,11_19,Enter_10_18,item,door,grey03,,6_6,,,,,,,,,,,,,,,
scenario_02,10_18,Enter_9_17,item,door,grey03,,6_6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ROOM_11_7 (BAR, BLOCKS)",,,,,,,,,,,,,,,,,,,,,,
scenario_02,11_7,block81,item,,gelb09,,7_7,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block82,item,,gelb10,,7_9,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block83,item,,gelb11,,7_11,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block84,item,,gelb12,,7_13,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block85,item,,gelb13,,7_15,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block87,item,,gelb14,,8_6,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block88,item,,gelb15,,8_8,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block31,item,,gelb16,,8_10,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block32,item,,gelb17,,8_12,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block33,item,,gelb18,,8_14,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block34,item,,gelb09,,8_16,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block35,item,,gelb10,,9_5,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block36,item,,gelb11,,9_7,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block37,item,,gelb12,,9_9,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block38,item,,gelb13,,9_11,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block39,item,,gelb14,,9_13,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block40,item,,gelb15,,9_15,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block41,item,,gelb16,,9_17,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block42,item,,gelb17,,10_4,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block43,item,,gelb18,,10_6,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block44,item,,gelb09,,10_8,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block45,item,,gelb10,,10_10,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block46,item,,gelb11,,10_12,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block47,item,,gelb12,,10_14,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block48,item,,gelb13,,10_16,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block49,item,,gelb14,,10_18,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block50,item,,gelb15,,12_4,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block51,item,,gelb16,,12_6,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block52,item,,gelb17,,12_8,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block53,item,,gelb18,,12_10,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block54,item,,gelb09,,12_12,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block55,item,,gelb10,,12_14,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block56,item,,gelb11,,12_16,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block57,item,,gelb12,,12_18,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block58,item,,gelb13,,13_5,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block59,item,,gelb14,,13_7,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block60,item,,gelb15,,13_9,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block61,item,,gelb16,,13_11,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block62,item,,gelb17,,13_13,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block63,item,,gelb18,,13_15,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block64,item,,gelb09,,13_17,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block65,item,,gelb10,,14_6,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block66,item,,gelb11,,14_8,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block67,item,,gelb12,,14_10,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block68,item,,gelb13,,14_12,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block69,item,,gelb14,,14_14,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block70,item,,gelb15,,14_16,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block71,item,,gelb16,,15_7,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block72,item,,gelb17,,15_9,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block73,item,,gelb18,,15_11,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block_23,item,,grey04,,15_13,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_7,block_24,item,,grey05,,15_15,,,,,TRUE,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ROOM_11_11 (FOOD, START)",,,,,,,,,,,,,,,,,,,,,,
scenario_02,11_11,filiq,item,food,grey14,filiq,7_7,,,,,TRUE,TRUE,,,,,,,,,LP_30 
scenario_02,11_11,carrot,item,food,grey14,carrot,7_9,,,,,TRUE,TRUE,,,,,,,,,LP_30 LS_10
scenario_02,11_11,apple,item,food,grey14,apple,7_11,,,,,TRUE,TRUE,,,,,,,,,LP_30 LS_10
scenario_02,11_11,banana,item,food,grey14,banana,7_13,,,,,TRUE,TRUE,,,,,,,,,LP_60 LS_10
scenario_02,11_11,chilli,item,food,grey14,chilli,7_15,,,,,TRUE,TRUE,,,,,,,,,LS_60 ILL_-1
scenario_02,11_11,lemon,item,food,grey14,lemon,8_6,,,,,TRUE,TRUE,,,,,,,,,LS_60 ILL_-1
scenario_02,11_11,pineapple,item,food,grey14,pinapple,8_8,,,,,TRUE,TRUE,,,,,,,,,LP_30 LIB_1
scenario_02,11_11,can,item,food,grey14,can,8_10,,,,,TRUE,TRUE,,,,,,,,,LP_90
scenario_02,11_11,egg,item,food,grey14,egg,8_12,,,,,TRUE,TRUE,,,,,,,,,LP_90
scenario_02,11_11,kibabchi,item,food,grey14,kibabchi,8_14,,,,,TRUE,TRUE,,,,,,,,,LP_2 LS_-1 kef_1
scenario_02,11_11,icecream,item,food,grey14,icecream,8_16,,,,,TRUE,TRUE,,,,,,,,,LP_60 LS_-20 kef_1
scenario_02,11_11,fresh,item,food,grey14,fresh,9_5,,,,,TRUE,TRUE,,,,,,,,,LP_30 LS_10 SP_1
scenario_02,11_11,spoget,item,food,grey14,spoget,9_7,,,,,TRUE,TRUE,,,,,,,,,LP_120 LS_-20 kef_1
scenario_02,11_11,hotdog,item,food,grey14,hotdog,9_9,,,,,TRUE,TRUE,,,,,,,,,LP_120 LS_-20 kef_1
scenario_02,11_11,pizza,item,food,grey14,pizza,9_11,,,,,TRUE,TRUE,,,,,,,,,LP_120 LS_-20 kef_1
,11_11,doner,item,food,grey14,,9_13,,,,,TRUE,TRUE,,,,,,,,,
,11_11,meat,item,food,grey14,,9_15,,,,,TRUE,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ROOM_10_10 (HOTEL, MUSIC)",,,,,,,,,,,,,,,,,,,,,,
scenario_02,10_10,music_box,body,vibrator,grey14,radio,11_11,,,,,TRUE,,,,3,,,3,1.5,,LP_3
scenario_02,10_10,toilette,body,,grey14,toilette,8_8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ROOM_11_13,,,,,,,,,,,,,,,,,,,,,,
scenario_02,11_13,barrel,body,,grey14,barrel,7_7,,,,,,TRUE,,,,,,,,,
scenario_02,11_13,fence,body,,grey14,y_fence,7_9,,,,,,,,,,,,,,,
scenario_02,11_13,shades,item,,grey14,shades,7_11,,,,,TRUE,,,,,,,,,,
scenario_02,11_13,gas_col,item,,grey14,gas,7_13,,,,,,,,,,,,,,,
scenario_02,11_13,pistol,item,,grey14,pistol,7_15,,,,,TRUE,,,,,,,,,,
scenario_02,11_13,pingpong,item,,grey14,pingpong,8_6,,,,,,TRUE,,,,,,,,,
scenario_02,11_13,book2,item,,grey14,book2,8_8,,,,,,TRUE,,,,,,,,,
scenario_02,11_13,pawprint,item,,grey14,pawprint,8_10,,,,,,,,,,,,,,,
scenario_02,11_13,phone,item,,grey14,phone,8_12,,,,,,,,,,,,,,,
scenario_02,11_13,key1,item,,grey14,key1,8_14,,,,,TRUE,,,,,,,,,,
scenario_02,11_13,bus,item,,grey14,bus,8_16,,,,,,,,,,,,,,,
scenario_02,11_13,car,item,,grey14,car,9_5,,,,,,,,,,,,,,,
scenario_02,11_13,bike,item,,grey14,bike,9_7,,,,,,,,,,,,,,,
scenario_02,11_13,lipstick,item,,grey14,lipstick,9_9,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_13,guba4,item,,grey14,shroom1,9_11,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_13,egg,item,,grey14,egg,9_13,,,,,TRUE,TRUE,,,,,,,,,
scenario_02,11_13,ant1,item,,grey14,ant1,9_15,,,,,,,,,,,,,,,
scenario_02,11_13,lizzard3,item,,grey14,lizzard3,9_17,,,,,,,,,,,,,,,
scenario_02,11_13,battery,item,,grey14,battery,10_4,,,,,TRUE,,,,,,,,,,
scenario_02,11_13,box,item,,grey14,box,10_6,,,,,,TRUE,,,,,,,,,
scenario_02,11_13,block42,item,,grey14,cage,10_8,,,,,,,,,,,,,,,
scenario_02,11_13,kofa1,item,,grey14,kofa1,10_10,,,,,,,,,,,,,,,
scenario_02,11_13,kofa2,item,,grey14,kofa2,10_12,,,,,,,,,,,,,,,
scenario_02,11_13,kofa3,item,,grey14,kofa3,10_14,,,,,,,,,,,,,,,
scenario_02,11_13,block45,item,,grey14,,10_16,,,,,,,,,,,,,,,
scenario_02,11_13,block46,item,,grey14,,10_18,,,,,,,,,,,,,,,
scenario_02,11_13,block47,item,,grey14,,12_4,,,,,,,,,,,,,,,
scenario_02,11_13,block48,item,,grey14,,12_6,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,12_8,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,12_10,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,12_12,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,12_14,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,12_16,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,12_18,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,13_5,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,13_7,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,13_9,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,13_11,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,13_13,,,,,,,,,,,,,,,
,11_13,,item,,grey14,,13_15,,,,,,,,,,,,,,,
,,,,,,,13_17,,,,,,,,,,,,,,,
